id,level,hanzi,pinyin,display_meaning_vi,meaning_en,part_of_speech,topic_tags,exam_tags,register,grammar_pattern,app_note_vi,app_synonym_note_vi,app_collocation_top,app_example_vi,content_status,needs_reference_check
hsk5_batch1_001,HSK5,变化,biànhuà,,change; to change,noun/verb,society|change,reading|meaning|cloze,neutral,变化 + 很大 / 发生变化 / 变化趋势,Thường dùng như “sự thay đổi” trong các câu phân tích.,变化 = sự thay đổi; 改变 = hành động thay đổi.,,,,
hsk5_batch1_002,HSK5,发展,fāzhǎn,,development; to develop,noun/verb,society|growth,reading|meaning|collocation,neutral,发展 + 经济 / 发展机会 / 发展方向,"Hay gặp trong các chủ đề xã hội, công nghệ và tăng trưởng.",进步 = tiến bộ; 发展 = phát triển rộng hơn.,,,,
hsk5_batch1_003,HSK5,社会,shèhuì,,society,noun,society,reading|meaning,neutral,社会 + 问题 / 现象 / 发展,Từ nền rất hay gặp trong đọc hiểu HSK5.,,,,,
hsk5_batch1_004,HSK5,文化,wénhuà,,culture,noun,culture|society,reading|meaning,neutral,文化 + 差异 / 背景 / 传统,Nên nhớ cùng các cụm như 文化差异 và 文化背景.,,,,,
hsk5_batch1_005,HSK5,现象,xiànxiàng,,phenomenon,noun,society|analysis,reading|formal,formal,一种现象 / 社会现象 / 这种现象说明…,Rất hay gặp trong bài đọc phân tích xã hội.,现象 = hiện tượng; 情况 = tình hình/trường hợp.,,,,
hsk5_batch1_006,HSK5,影响,yǐngxiǎng,,influence; impact; to affect,noun/verb,society|argument|effect,reading|cloze|meaning,neutral,对……有影响 / 受到影响 / 产生影响,Thường đi trong cấu trúc 对……有影响.,影响 = ảnh hưởng; 作用 = tác dụng/chức năng.,,,,
hsk5_batch1_007,HSK5,环境,huánjìng,,environment; surroundings; circumstances,noun,society|daily life,reading|meaning,neutral,生活环境 / 工作环境 / 改善环境,Không chỉ là môi trường tự nhiên; còn là hoàn cảnh sống và học tập.,环境 = môi trường/bối cảnh; 条件 = điều kiện.,,,,
hsk5_batch1_008,HSK5,责任,zérèn,,responsibility,noun,society|work|values,reading|meaning|collocation,neutral,承担责任 / 责任感 / 对……负责,"Hay gặp trong các chủ đề giá trị, công việc và xã hội.",责任 = trách nhiệm; 义务 = nghĩa vụ.,,,,
hsk5_batch1_009,HSK5,趋势,qūshì,,trend; tendency,noun,society|analysis|media,reading|headline|meaning,formal,发展趋势 / 总体趋势 / 呈现趋势,"Rất hay gặp trong phân tích, báo chí và bài đọc dữ liệu.",趋势 = xu thế chung; 倾向 = khuynh hướng/ngả về một phía.,,,,
hsk5_batch1_010,HSK5,现状,xiànzhuàng,,current situation; status quo,noun,society|analysis,reading|meaning|context,formal,改变现状 / 了解现状 / 面对现状,Thường gặp trong câu phân tích tình hình hiện tại.,现状 = hiện trạng; 情况 = tình hình/trường hợp rộng hơn.,,,,
hsk5_batch1_011,HSK5,安排,ānpái,,to arrange; to schedule,verb,work|schedule|daily life,meaning|cloze|collocation,neutral,安排 + 时间 / 工作 / 会议,"Hay dùng cho lịch, công việc và cuộc họp.",安排 = sắp xếp cụ thể; 计划 = kế hoạch.,,,,
