lesson_id,lesson_title_vi,lesson_title_zh,word_id,hanzi,pinyin,meaning_vi,meaning_en,notes
HSK1-M1-L1,Chào hỏi cơ bản,问候语,hsk1_001,你好,nǐ hǎo,xin chào,hello,"Biết chào, cảm ơn, xin lỗi, mời và tạm biệt trong tình huống cơ bản."
HSK1-M1-L1,Chào hỏi cơ bản,问候语,hsk1_002,谢谢,xièxie,cảm ơn,thank you,"Biết chào, cảm ơn, xin lỗi, mời và tạm biệt trong tình huống cơ bản."
HSK1-M1-L1,Chào hỏi cơ bản,问候语,hsk1_003,再见,zàijiàn,tạm biệt,goodbye,"Biết chào, cảm ơn, xin lỗi, mời và tạm biệt trong tình huống cơ bản."
HSK1-M1-L1,Chào hỏi cơ bản,问候语,hsk1_004,请,qǐng,"mời, xin",please,"Biết chào, cảm ơn, xin lỗi, mời và tạm biệt trong tình huống cơ bản."
HSK1-M1-L1,Chào hỏi cơ bản,问候语,hsk1_005,对不起,duìbuqǐ,xin lỗi,sorry,"Biết chào, cảm ơn, xin lỗi, mời và tạm biệt trong tình huống cơ bản."
HSK1-M1-L1,Chào hỏi cơ bản,问候语,hsk1_006,没关系,méi guānxi,không sao đâu,it doesn't matter,"Biết chào, cảm ơn, xin lỗi, mời và tạm biệt trong tình huống cơ bản."
HSK1-M1-L2,Giới thiệu bản thân,自我介绍,hsk1_011,我,wǒ,tôi,"I, me","Nói tôi là ai, tên là gì, người khác là ai."
HSK1-M1-L2,Giới thiệu bản thân,自我介绍,hsk1_012,你,nǐ,bạn,you,"Nói tôi là ai, tên là gì, người khác là ai."
HSK1-M1-L2,Giới thiệu bản thân,自我介绍,hsk1_013,他,tā,anh ấy,"he, him","Nói tôi là ai, tên là gì, người khác là ai."
HSK1-M1-L2,Giới thiệu bản thân,自我介绍,hsk1_014,她,tā,cô ấy,"she, her","Nói tôi là ai, tên là gì, người khác là ai."
HSK1-M1-L2,Giới thiệu bản thân,自我介绍,hsk1_015,我们,wǒmen,chúng tôi / chúng ta,"we, us","Nói tôi là ai, tên là gì, người khác là ai."
HSK1-M1-L2,Giới thiệu bản thân,自我介绍,hsk1_024,名字,míngzi,tên,name,"Nói tôi là ai, tên là gì, người khác là ai."
HSK1-M1-L2,Giới thiệu bản thân,自我介绍,hsk1_090,叫,jiào,"tên là, gọi",to be called; call,"Nói tôi là ai, tên là gì, người khác là ai."
HSK1-M1-L2,Giới thiệu bản thân,自我介绍,hsk1_007,是,shì,là,to be,"Nói tôi là ai, tên là gì, người khác là ai."
HSK1-M1-L2,Giới thiệu bản thân,自我介绍,hsk1_025,中国,Zhōngguó,Trung Quốc,China,"Nói tôi là ai, tên là gì, người khác là ai."
HSK1-M1-L3,Hỏi đáp cơ bản,基本问答,hsk1_016,这,zhè,"đây, cái này",this,"Biết hỏi cái gì, ai, đâu, mấy, bao nhiêu."
HSK1-M1-L3,Hỏi đáp cơ bản,基本问答,hsk1_017,那,nà,"kia, cái đó",that,"Biết hỏi cái gì, ai, đâu, mấy, bao nhiêu."
HSK1-M1-L3,Hỏi đáp cơ bản,基本问答,hsk1_018,什么,shénme,cái gì,what,"Biết hỏi cái gì, ai, đâu, mấy, bao nhiêu."
HSK1-M1-L3,Hỏi đáp cơ bản,基本问答,hsk1_019,哪,nǎ,"nào, đâu","which, where","Biết hỏi cái gì, ai, đâu, mấy, bao nhiêu."
HSK1-M1-L3,Hỏi đáp cơ bản,基本问答,hsk1_020,谁,shéi,ai,who,"Biết hỏi cái gì, ai, đâu, mấy, bao nhiêu."
HSK1-M1-L3,Hỏi đáp cơ bản,基本问答,hsk1_021,几,jǐ,"mấy, bao nhiêu",how many,"Biết hỏi cái gì, ai, đâu, mấy, bao nhiêu."
HSK1-M1-L3,Hỏi đáp cơ bản,基本问答,hsk1_022,多少,duōshao,bao nhiêu,"how much, how many","Biết hỏi cái gì, ai, đâu, mấy, bao nhiêu."
HSK1-M2-L4,Gia đình và người thân,家庭,hsk1_023,人,rén,người,"person, people","Nói về gia đình, bạn bè và người thân quen."
HSK1-M2-L4,Gia đình và người thân,家庭,hsk1_038,家,jiā,"nhà, gia đình","home, family","Nói về gia đình, bạn bè và người thân quen."
HSK1-M2-L4,Gia đình và người thân,家庭,hsk1_039,妈妈,māma,mẹ,mother,"Nói về gia đình, bạn bè và người thân quen."
HSK1-M2-L4,Gia đình và người thân,家庭,hsk1_040,爸爸,bàba,bố,father,"Nói về gia đình, bạn bè và người thân quen."
HSK1-M2-L4,Gia đình và người thân,家庭,hsk1_041,朋友,péngyou,"bạn bè, người bạn",friend,"Nói về gia đình, bạn bè và người thân quen."
HSK1-M2-L5,Trường lớp và học tập,学校,hsk1_026,学生,xuésheng,"học sinh, sinh viên",student,"Nói về việc học, trường, sách và môn học."
HSK1-M2-L5,Trường lớp và học tập,学校,hsk1_027,老师,lǎoshī,giáo viên,teacher,"Nói về việc học, trường, sách và môn học."
HSK1-M2-L5,Trường lớp và học tập,学校,hsk1_028,学校,xuéxiào,trường học,school,"Nói về việc học, trường, sách và môn học."
HSK1-M2-L5,Trường lớp và học tập,学校,hsk1_029,书,shū,sách,book,"Nói về việc học, trường, sách và môn học."
HSK1-M2-L5,Trường lớp và học tập,学校,hsk1_100,汉语,Hànyǔ,tiếng Trung,Chinese language,"Nói về việc học, trường, sách và môn học."
HSK1-M2-L5,Trường lớp và học tập,学校,hsk1_083,学习,xuéxí,học,to study,"Nói về việc học, trường, sách và môn học."
HSK1-M2-L5,Trường lớp và học tập,学校,hsk1_077,读,dú,đọc,"to read aloud, study","Nói về việc học, trường, sách và môn học."
