lessonId,moduleId,moduleTitle,lessonTitleVi,lessonTitleZh,shortTitleVi,shortTitleZh,id,hanzi,pinyin,meaning_vi,meaning_en,part_of_speech,example_cn,example_translation,tags,frequency_band
HSK1-M1-L1,hsk1-module-1,Survival Basics,Chào hỏi cơ bản,问候语,Chào hỏi,问候,hsk1_001,你好,nǐ hǎo,xin chào,hello,phrase,你好，很高兴认识你。,"Xin chào, rất vui được gặp bạn.",greeting,high
HSK1-M1-L1,hsk1-module-1,Survival Basics,Chào hỏi cơ bản,问候语,Chào hỏi,问候,hsk1_002,谢谢,xièxie,cảm ơn,thank you,phrase,谢谢你的帮助。,Cảm ơn sự giúp đỡ của bạn.,greeting|polite,high
HSK1-M1-L1,hsk1-module-1,Survival Basics,Chào hỏi cơ bản,问候语,Chào hỏi,问候,hsk1_003,再见,zàijiàn,tạm biệt,goodbye,phrase,老师，再见！,Tạm biệt thầy/cô ạ!,greeting,high
HSK1-M1-L1,hsk1-module-1,Survival Basics,Chào hỏi cơ bản,问候语,Chào hỏi,问候,hsk1_004,请,qǐng,"mời, xin",please,verb,请坐。,Mời ngồi.,polite,high
HSK1-M1-L1,hsk1-module-1,Survival Basics,Chào hỏi cơ bản,问候语,Chào hỏi,问候,hsk1_005,对不起,duìbuqǐ,xin lỗi,sorry,phrase,对不起，我来晚了。,"Xin lỗi, tôi đến muộn rồi.",polite,high
HSK1-M1-L1,hsk1-module-1,Survival Basics,Chào hỏi cơ bản,问候语,Chào hỏi,问候,hsk1_006,没关系,méi guānxi,không sao đâu,it doesn't matter,phrase,没关系，我们可以再试一次。,"Không sao, chúng ta có thể thử lại lần nữa.",polite,high
HSK1-M1-L2,hsk1-module-1,Survival Basics,Giới thiệu bản thân,自我介绍,Giới thiệu,介绍,hsk1_011,我,wǒ,tôi,"I, me",pronoun,我喜欢中文。,Tôi thích tiếng Trung.,pronoun,high
HSK1-M1-L2,hsk1-module-1,Survival Basics,Giới thiệu bản thân,自我介绍,Giới thiệu,介绍,hsk1_012,你,nǐ,bạn,you,pronoun,你好吗？,Bạn có khỏe không?,pronoun,high
HSK1-M1-L2,hsk1-module-1,Survival Basics,Giới thiệu bản thân,自我介绍,Giới thiệu,介绍,hsk1_013,他,tā,anh ấy,"he, him",pronoun,他是我的朋友。,Anh ấy là bạn của tôi.,pronoun,high
HSK1-M1-L2,hsk1-module-1,Survival Basics,Giới thiệu bản thân,自我介绍,Giới thiệu,介绍,hsk1_014,她,tā,cô ấy,"she, her",pronoun,她很忙。,Cô ấy rất bận.,pronoun,high
